# name : third_layer_dichroic_HK
# author : unknown
# date_created : 2026-03-16T12:00:00
# date_modified : 2026-03-16T21:02:23.221
# description : Transmits K, reflects H
# wavelength_unit : um
# changes :
#
wavelength transmission reflection
0.30 0.000000 0.000000
0.31 0.000000 0.000000
0.32 0.000000 0.000000
0.33 0.000000 0.000000
0.34 0.000000 0.000000
0.35 0.000000 0.000000
0.36 0.000000 0.000000
0.37 0.000000 0.000000
0.38 0.000000 0.000000
0.39 0.000000 0.000000
0.40 0.000000 0.000000
0.41 0.000000 0.000000
0.42 0.000000 0.000000
0.43 0.000000 0.000000
0.44 0.000000 0.000000
0.45 0.000000 0.000000
0.46 0.000000 0.000000
0.47 0.000000 0.000000
0.48 0.000000 0.000000
0.49 0.000000 0.000000
0.50 0.000000 0.000000
0.51 0.000000 0.000000
0.52 0.000000 0.000000
0.53 0.000000 0.000000
0.54 0.000000 0.000000
0.55 0.000000 0.000000
0.56 0.000000 0.000000
0.57 0.000000 0.000000
0.58 0.000000 0.000000
0.59 0.000000 0.000000
0.60 0.000000 0.000000
0.61 0.000000 0.000000
0.62 0.000000 0.000000
0.63 0.000000 0.000000
0.64 0.000000 0.000000
0.65 0.000000 0.000000
0.66 0.000000 0.000000
0.67 0.000000 0.000000
0.68 0.000000 0.000000
0.69 0.000000 0.000000
0.70 0.000000 0.000000
0.71 0.000000 0.000000
0.72 0.000000 0.000000
0.73 0.000000 0.000000
0.74 0.000000 0.000000
0.75 0.000000 0.000000
0.76 0.000000 0.000000
0.77 0.000000 0.000000
0.78 0.000000 0.000000
0.79 0.000000 0.000000
0.80 0.000000 0.000000
0.81 0.000000 0.000000
0.82 0.000000 0.000000
0.83 0.000000 0.000000
0.84 0.000000 0.000000
0.85 0.000000 0.000000
0.86 0.000000 0.000000
0.87 0.000000 0.000000
0.88 0.000000 0.000000
0.89 0.000000 0.000000
0.90 0.000000 0.000000
0.91 0.000000 0.000000
0.92 0.000000 0.000000
0.93 0.000000 0.000000
0.94 0.000000 0.000000
0.95 0.000000 0.000000
0.96 0.000000 0.000000
0.97 0.000000 0.000000
0.98 0.000000 0.000000
0.99 0.000000 0.000000
1.00 0.000000 0.000000
1.01 0.000000 0.000000
1.02 0.000000 0.000000
1.03 0.000000 0.000000
1.04 0.000000 0.000000
1.05 0.000000 0.000000
1.06 0.000000 0.000000
1.07 0.000000 0.000000
1.08 0.000000 0.000000
1.09 0.000000 0.000000
1.10 0.000000 0.000000
1.11 0.000000 0.000000
1.12 0.000000 0.000000
1.13 0.000000 0.000000
1.14 0.000000 0.000000
1.15 0.000000 0.000000
1.16 0.000000 0.000000
1.17 0.000000 0.000000
1.18 0.000000 0.000000
1.19 0.000000 0.000000
1.20 0.000000 0.000000
1.21 0.000000 0.000000
1.22 0.000000 0.000000
1.23 0.000000 0.000000
1.24 0.000000 0.000000
1.25 0.000000 0.000000
1.26 0.000000 0.000000
1.27 0.000000 0.000000
1.28 0.000000 0.000000
1.29 0.000000 0.000000
1.30 0.000000 0.000000
1.31 0.000000 0.000000
1.32 0.000000 0.000000
1.33 0.000000 0.000000
1.34 0.000000 0.000008
1.35 0.000000 0.000204
1.36 0.000000 0.002972
1.37 0.000000 0.024545
1.38 0.000000 0.117824
1.39 0.000000 0.342132
1.40 0.000000 0.642564
1.41 0.000000 0.866814
1.42 0.000000 0.960047
1.43 0.000000 0.981602
1.44 0.000000 0.984368
1.45 0.000000 0.984564
1.46 0.000000 0.984572
1.47 0.000000 0.984572
1.48 0.000000 0.984572
1.49 0.000000 0.984572
1.50 0.000000 0.984572
1.51 0.000000 0.984572
1.52 0.000000 0.984572
1.53 0.000000 0.984572
1.54 0.000000 0.984572
1.55 0.000000 0.984572
1.56 0.000000 0.984572
1.57 0.000000 0.984572
1.58 0.000000 0.984572
1.59 0.000000 0.984572
1.60 0.000000 0.984572
1.61 0.000000 0.984572
1.62 0.000000 0.984572
1.63 0.000000 0.984572
1.64 0.000000 0.984572
1.65 0.000000 0.984572
1.66 0.000000 0.984572
1.67 0.000000 0.984572
1.68 0.000000 0.984572
1.69 0.000000 0.984572
1.70 0.000000 0.984572
1.71 0.000000 0.984572
1.72 0.000000 0.984572
1.73 0.000000 0.984572
1.74 0.000000 0.984572
1.75 0.000000 0.984572
1.76 0.000000 0.984572
1.77 0.000000 0.984572
1.78 0.000000 0.984572
1.79 0.000000 0.984572
1.80 0.000000 0.984572
